"","roi_name","site","lat","lon","roitype","active","show_link","show_data_link","sequence_number","description","first_date","last_date","site_years","missing_data_pct","roi_page","roi_stats_file","one_day_summary","three_day_summary","data_release"
"1","ibp_GR_1000","ibp",32.589,-106.847,"GR",TRUE,TRUE,TRUE,1000,"lower left grasses","2014-02-16","2020-02-19","6.0","0.0","https://phenocam.sr.unh.edu/webcam/roi/ibp/GR_1000/","https://phenocam.sr.unh.edu/data/archive/ibp/ROI/ibp_GR_1000_roistats.csv","https://phenocam.sr.unh.edu/data/archive/ibp/ROI/ibp_GR_1000_1day.csv","https://phenocam.sr.unh.edu/data/archive/ibp/ROI/ibp_GR_1000_3day.csv",NA
"2","ibp_NV_1000","ibp",32.589,-106.847,"NV",TRUE,TRUE,FALSE,1000,"Entire land surface including bare ground.","2013-05-11","2020-02-19","6.7","1.0","https://phenocam.sr.unh.edu/webcam/roi/ibp/NV_1000/","https://phenocam.sr.unh.edu/data/archive/ibp/ROI/ibp_NV_1000_roistats.csv","https://phenocam.sr.unh.edu/data/archive/ibp/ROI/ibp_NV_1000_1day.csv","https://phenocam.sr.unh.edu/data/archive/ibp/ROI/ibp_NV_1000_3day.csv",NA
"3","ibp_SH_1000","ibp",32.589,-106.847,"SH",TRUE,TRUE,TRUE,1000,"small shrubs in mid right","2014-02-16","2020-02-19","6.0","1.0","https://phenocam.sr.unh.edu/webcam/roi/ibp/SH_1000/","https://phenocam.sr.unh.edu/data/archive/ibp/ROI/ibp_SH_1000_roistats.csv","https://phenocam.sr.unh.edu/data/archive/ibp/ROI/ibp_SH_1000_1day.csv","https://phenocam.sr.unh.edu/data/archive/ibp/ROI/ibp_SH_1000_3day.csv",NA
"4","jerbajada_SH_1000","jerbajada",32.57992,-106.633793,"SH",TRUE,TRUE,TRUE,1000,"Shrubs  in FOV","2014-04-20","2020-02-19","5.8","0.0","https://phenocam.sr.unh.edu/webcam/roi/jerbajada/SH_1000/","https://phenocam.sr.unh.edu/data/archive/jerbajada/ROI/jerbajada_SH_1000_roistats.csv","https://phenocam.sr.unh.edu/data/archive/jerbajada/ROI/jerbajada_SH_1000_1day.csv","https://phenocam.sr.unh.edu/data/archive/jerbajada/ROI/jerbajada_SH_1000_3day.csv",NA
"5","jergrassland_GR_1000","jergrassland",32.5833,-106.8333,"GR",TRUE,TRUE,TRUE,1000,"GR is the primary veg type with SH as a secondary veg type.","2019-04-26","2020-02-19","0.7","10.0","https://phenocam.sr.unh.edu/webcam/roi/jergrassland/GR_1000/","https://phenocam.sr.unh.edu/data/archive/jergrassland/ROI/jergrassland_GR_1000_roistats.csv","https://phenocam.sr.unh.edu/data/archive/jergrassland/ROI/jergrassland_GR_1000_1day.csv","https://phenocam.sr.unh.edu/data/archive/jergrassland/ROI/jergrassland_GR_1000_3day.csv",NA
"6","jernort_NV_1000","jernort",32.619,-106.788,"NV",TRUE,TRUE,FALSE,1000,"Entire canopy including bareground/no veg.","2014-03-03","2016-10-28","2.6","2.0","https://phenocam.sr.unh.edu/webcam/roi/jernort/NV_1000/","https://phenocam.sr.unh.edu/data/archive/jernort/ROI/jernort_NV_1000_roistats.csv","https://phenocam.sr.unh.edu/data/archive/jernort/ROI/jernort_NV_1000_1day.csv","https://phenocam.sr.unh.edu/data/archive/jernort/ROI/jernort_NV_1000_3day.csv",NA
"7","jernort_NV_2000","jernort",32.619,-106.788,"NV",TRUE,TRUE,FALSE,2000,"Entire canopy including bareground/no veg.","2016-10-28","2020-02-19","3.3","1.0","https://phenocam.sr.unh.edu/webcam/roi/jernort/NV_2000/","https://phenocam.sr.unh.edu/data/archive/jernort/ROI/jernort_NV_2000_roistats.csv","https://phenocam.sr.unh.edu/data/archive/jernort/ROI/jernort_NV_2000_1day.csv","https://phenocam.sr.unh.edu/data/archive/jernort/ROI/jernort_NV_2000_3day.csv",NA
"8","jernort_SH_1000","jernort",32.619,-106.788,"SH",TRUE,TRUE,TRUE,1000,"shrubs in FOV","2014-11-22","2016-10-28","1.9","1.0","https://phenocam.sr.unh.edu/webcam/roi/jernort/SH_1000/","https://phenocam.sr.unh.edu/data/archive/jernort/ROI/jernort_SH_1000_roistats.csv","https://phenocam.sr.unh.edu/data/archive/jernort/ROI/jernort_SH_1000_1day.csv","https://phenocam.sr.unh.edu/data/archive/jernort/ROI/jernort_SH_1000_3day.csv",NA
"9","jernort_SH_2000","jernort",32.619,-106.788,"SH",TRUE,TRUE,TRUE,2000,"shrubs in mid and background","2016-10-28","2020-02-19","3.3","1.0","https://phenocam.sr.unh.edu/webcam/roi/jernort/SH_2000/","https://phenocam.sr.unh.edu/data/archive/jernort/ROI/jernort_SH_2000_roistats.csv","https://phenocam.sr.unh.edu/data/archive/jernort/ROI/jernort_SH_2000_1day.csv","https://phenocam.sr.unh.edu/data/archive/jernort/ROI/jernort_SH_2000_3day.csv",NA
"10","jernovel_SH_1000","jernovel",32.6335,-106.8334,"SH",TRUE,TRUE,TRUE,1000,"SH is primary veg type with GR scattered throughout FOV.","2019-02-13","2020-02-19","1.0","0.0","https://phenocam.sr.unh.edu/webcam/roi/jernovel/SH_1000/","https://phenocam.sr.unh.edu/data/archive/jernovel/ROI/jernovel_SH_1000_roistats.csv","https://phenocam.sr.unh.edu/data/archive/jernovel/ROI/jernovel_SH_1000_1day.csv","https://phenocam.sr.unh.edu/data/archive/jernovel/ROI/jernovel_SH_1000_3day.csv",NA
"11","jernwern_NV_1000","jernwern",32.6271,-106.7387,"NV",TRUE,TRUE,TRUE,1000,"non vegetated interspaces between shrubs","2017-11-07","2020-02-19","2.2","4.0","https://phenocam.sr.unh.edu/webcam/roi/jernwern/NV_1000/","https://phenocam.sr.unh.edu/data/archive/jernwern/ROI/jernwern_NV_1000_roistats.csv","https://phenocam.sr.unh.edu/data/archive/jernwern/ROI/jernwern_NV_1000_1day.csv","https://phenocam.sr.unh.edu/data/archive/jernwern/ROI/jernwern_NV_1000_3day.csv",NA
"12","jernwern_SH_1000","jernwern",32.6271,-106.7387,"SH",TRUE,TRUE,TRUE,1000,"Shrubs in the mid FOV","2017-11-07","2020-02-19","2.2","4.0","https://phenocam.sr.unh.edu/webcam/roi/jernwern/SH_1000/","https://phenocam.sr.unh.edu/data/archive/jernwern/ROI/jernwern_SH_1000_roistats.csv","https://phenocam.sr.unh.edu/data/archive/jernwern/ROI/jernwern_SH_1000_1day.csv","https://phenocam.sr.unh.edu/data/archive/jernwern/ROI/jernwern_SH_1000_3day.csv",NA
"13","jersand_SH_1000","jersand",32.515,-106.798,"SH",TRUE,TRUE,TRUE,1000,"most shurbs in FOV","2014-02-28","2020-02-19","5.9","1.0","https://phenocam.sr.unh.edu/webcam/roi/jersand/SH_1000/","https://phenocam.sr.unh.edu/data/archive/jersand/ROI/jersand_SH_1000_roistats.csv","https://phenocam.sr.unh.edu/data/archive/jersand/ROI/jersand_SH_1000_1day.csv","https://phenocam.sr.unh.edu/data/archive/jersand/ROI/jersand_SH_1000_3day.csv",NA
"14","jershrubland_SH_1000","jershrubland",32.6502,-106.8334,"SH",TRUE,TRUE,TRUE,1000,"SH is the primary veg type in FOV.","2019-03-03","2020-02-19","1.0","0.0","https://phenocam.sr.unh.edu/webcam/roi/jershrubland/SH_1000/","https://phenocam.sr.unh.edu/data/archive/jershrubland/ROI/jershrubland_SH_1000_roistats.csv","https://phenocam.sr.unh.edu/data/archive/jershrubland/ROI/jershrubland_SH_1000_1day.csv","https://phenocam.sr.unh.edu/data/archive/jershrubland/ROI/jershrubland_SH_1000_3day.csv",NA
"15","NEON.D14.JORN.DP1.00033_GR_1000","NEON.D14.JORN.DP1.00033",32.59068,-106.84254,"GR",TRUE,TRUE,TRUE,1000,"canopy level GR in foreground","2017-02-25","2020-02-19","3.0","1.0","https://phenocam.sr.unh.edu/webcam/roi/NEON.D14.JORN.DP1.00033/GR_1000/","https://phenocam.sr.unh.edu/data/archive/NEON.D14.JORN.DP1.00033/ROI/NEON.D14.JORN.DP1.00033_GR_1000_roistats.csv","https://phenocam.sr.unh.edu/data/archive/NEON.D14.JORN.DP1.00033/ROI/NEON.D14.JORN.DP1.00033_GR_1000_1day.csv","https://phenocam.sr.unh.edu/data/archive/NEON.D14.JORN.DP1.00033/ROI/NEON.D14.JORN.DP1.00033_GR_1000_3day.csv",NA
"16","NEON.D14.JORN.DP1.00042_GR_1000","NEON.D14.JORN.DP1.00042",32.59068,-106.84254,"GR",TRUE,TRUE,TRUE,1000,"foreground grass","2017-02-25","2020-02-19","3.0","0.0","https://phenocam.sr.unh.edu/webcam/roi/NEON.D14.JORN.DP1.00042/GR_1000/","https://phenocam.sr.unh.edu/data/archive/NEON.D14.JORN.DP1.00042/ROI/NEON.D14.JORN.DP1.00042_GR_1000_roistats.csv","https://phenocam.sr.unh.edu/data/archive/NEON.D14.JORN.DP1.00042/ROI/NEON.D14.JORN.DP1.00042_GR_1000_1day.csv","https://phenocam.sr.unh.edu/data/archive/NEON.D14.JORN.DP1.00042/ROI/NEON.D14.JORN.DP1.00042_GR_1000_3day.csv",NA
