Value,MODLAND,VI Usefulness,Aerosol Quantity,Adjacent cloud detected,Atmosphere BRDF Correction,Mixed Clouds,Land/Water Mask,Possible snow/ice,Possible shadow
5402,"Pixel produced, but most probably cloudy",Decreasing quality,Climatology,Yes,No,Yes,Ocean coastlines and lake shorelines,No,No
5403,Pixel not produced due to other reasons than clouds,Decreasing quality,Climatology,Yes,No,Yes,Ocean coastlines and lake shorelines,No,No
5406,"Pixel produced, but most probably cloudy",Decreasing quality,Climatology,Yes,No,Yes,Ocean coastlines and lake shorelines,No,No
5410,"Pixel produced, but most probably cloudy",Decreasing quality,Climatology,Yes,No,Yes,Ocean coastlines and lake shorelines,No,No
5414,"Pixel produced, but most probably cloudy",Decreasing quality,Climatology,Yes,No,Yes,Ocean coastlines and lake shorelines,No,No
5439,Pixel not produced due to other reasons than clouds,Not useful for any other reason/not processed,Climatology,Yes,No,Yes,Ocean coastlines and lake shorelines,No,No
6153,"VI produced, but check other QA",Decreasing quality,Climatology,No,No,No,Shallow inland water,No,No
6154,"Pixel produced, but most probably cloudy",Decreasing quality,Climatology,No,No,No,Shallow inland water,No,No
6155,Pixel not produced due to other reasons than clouds,Decreasing quality,Climatology,No,No,No,Shallow inland water,No,No
6157,"VI produced, but check other QA",Decreasing quality,Climatology,No,No,No,Shallow inland water,No,No
6158,"Pixel produced, but most probably cloudy",Decreasing quality,Climatology,No,No,No,Shallow inland water,No,No
6159,Pixel not produced due to other reasons than clouds,Decreasing quality,Climatology,No,No,No,Shallow inland water,No,No
6161,"VI produced, but check other QA",Decreasing quality,Climatology,No,No,No,Shallow inland water,No,No
6162,"Pixel produced, but most probably cloudy",Decreasing quality,Climatology,No,No,No,Shallow inland water,No,No
6163,Pixel not produced due to other reasons than clouds,Decreasing quality,Climatology,No,No,No,Shallow inland water,No,No
6165,"VI produced, but check other QA",Decreasing quality,Climatology,No,No,No,Shallow inland water,No,No
6166,"Pixel produced, but most probably cloudy",Decreasing quality,Climatology,No,No,No,Shallow inland water,No,No
6207,Pixel not produced due to other reasons than clouds,Not useful for any other reason/not processed,Climatology,No,No,No,Shallow inland water,No,No
6208,VI produced with good quality,Highest quality,Low,No,No,No,Shallow inland water,No,No
6211,Pixel not produced due to other reasons than clouds,Highest quality,Low,No,No,No,Shallow inland water,No,No
6212,VI produced with good quality,Lower quality,Low,No,No,No,Shallow inland water,No,No
6214,"Pixel produced, but most probably cloudy",Lower quality,Low,No,No,No,Shallow inland water,No,No
6215,Pixel not produced due to other reasons than clouds,Lower quality,Low,No,No,No,Shallow inland water,No,No
6216,VI produced with good quality,Decreasing quality,Low,No,No,No,Shallow inland water,No,No
6218,"Pixel produced, but most probably cloudy",Decreasing quality,Low,No,No,No,Shallow inland water,No,No
6219,Pixel not produced due to other reasons than clouds,Decreasing quality,Low,No,No,No,Shallow inland water,No,No
6220,VI produced with good quality,Decreasing quality,Low,No,No,No,Shallow inland water,No,No
6271,Pixel not produced due to other reasons than clouds,Not useful for any other reason/not processed,Low,No,No,No,Shallow inland water,No,No
6277,"VI produced, but check other QA",Lower quality,Average,No,No,No,Shallow inland water,No,No
6278,"Pixel produced, but most probably cloudy",Lower quality,Average,No,No,No,Shallow inland water,No,No
6279,Pixel not produced due to other reasons than clouds,Lower quality,Average,No,No,No,Shallow inland water,No,No
6281,"VI produced, but check other QA",Decreasing quality,Average,No,No,No,Shallow inland water,No,No
6282,"Pixel produced, but most probably cloudy",Decreasing quality,Average,No,No,No,Shallow inland water,No,No
6283,Pixel not produced due to other reasons than clouds,Decreasing quality,Average,No,No,No,Shallow inland water,No,No
6285,"VI produced, but check other QA",Decreasing quality,Average,No,No,No,Shallow inland water,No,No
6286,"Pixel produced, but most probably cloudy",Decreasing quality,Average,No,No,No,Shallow inland water,No,No
6287,Pixel not produced due to other reasons than clouds,Decreasing quality,Average,No,No,No,Shallow inland water,No,No
6289,"VI produced, but check other QA",Decreasing quality,Average,No,No,No,Shallow inland water,No,No
6335,Pixel not produced due to other reasons than clouds,Not useful for any other reason/not processed,Average,No,No,No,Shallow inland water,No,No
6349,"VI produced, but check other QA",Decreasing quality,High,No,No,No,Shallow inland water,No,No
6353,"VI produced, but check other QA",Decreasing quality,High,No,No,No,Shallow inland water,No,No
6354,"Pixel produced, but most probably cloudy",Decreasing quality,High,No,No,No,Shallow inland water,No,No
6357,"VI produced, but check other QA",Decreasing quality,High,No,No,No,Shallow inland water,No,No
6358,"Pixel produced, but most probably cloudy",Decreasing quality,High,No,No,No,Shallow inland water,No,No
6361,"VI produced, but check other QA",Decreasing quality,High,No,No,No,Shallow inland water,No,No
6413,"VI produced, but check other QA",Decreasing quality,Climatology,Yes,No,No,Shallow inland water,No,No
6414,"Pixel produced, but most probably cloudy",Decreasing quality,Climatology,Yes,No,No,Shallow inland water,No,No
6415,Pixel not produced due to other reasons than clouds,Decreasing quality,Climatology,Yes,No,No,Shallow inland water,No,No
6417,"VI produced, but check other QA",Decreasing quality,Climatology,Yes,No,No,Shallow inland water,No,No
6418,"Pixel produced, but most probably cloudy",Decreasing quality,Climatology,Yes,No,No,Shallow inland water,No,No
6419,Pixel not produced due to other reasons than clouds,Decreasing quality,Climatology,Yes,No,No,Shallow inland water,No,No
6421,"VI produced, but check other QA",Decreasing quality,Climatology,Yes,No,No,Shallow inland water,No,No
6422,"Pixel produced, but most probably cloudy",Decreasing quality,Climatology,Yes,No,No,Shallow inland water,No,No
6423,Pixel not produced due to other reasons than clouds,Decreasing quality,Climatology,Yes,No,No,Shallow inland water,No,No
6425,"VI produced, but check other QA",Decreasing quality,Climatology,Yes,No,No,Shallow inland water,No,No
6426,"Pixel produced, but most probably cloudy",Decreasing quality,Climatology,Yes,No,No,Shallow inland water,No,No
6463,Pixel not produced due to other reasons than clouds,Not useful for any other reason/not processed,Climatology,Yes,No,No,Shallow inland water,No,No
7190,"Pixel produced, but most probably cloudy",Decreasing quality,Climatology,No,No,Yes,Shallow inland water,No,No
7191,Pixel not produced due to other reasons than clouds,Decreasing quality,Climatology,No,No,Yes,Shallow inland water,No,No
7194,"Pixel produced, but most probably cloudy",Decreasing quality,Climatology,No,No,Yes,Shallow inland water,No,No
7195,Pixel not produced due to other reasons than clouds,Decreasing quality,Climatology,No,No,Yes,Shallow inland water,No,No
7198,"Pixel produced, but most probably cloudy",Decreasing quality,Climatology,No,No,Yes,Shallow inland water,No,No
7199,Pixel not produced due to other reasons than clouds,Decreasing quality,Climatology,No,No,Yes,Shallow inland water,No,No
7202,"Pixel produced, but most probably cloudy",Decreasing quality,Climatology,No,No,Yes,Shallow inland water,No,No
7231,Pixel not produced due to other reasons than clouds,Not useful for any other reason/not processed,Climatology,No,No,Yes,Shallow inland water,No,No
7246,"Pixel produced, but most probably cloudy",Decreasing quality,Low,No,No,Yes,Shallow inland water,No,No
7247,Pixel not produced due to other reasons than clouds,Decreasing quality,Low,No,No,Yes,Shallow inland water,No,No
7250,"Pixel produced, but most probably cloudy",Decreasing quality,Low,No,No,Yes,Shallow inland water,No,No
7251,Pixel not produced due to other reasons than clouds,Decreasing quality,Low,No,No,Yes,Shallow inland water,No,No
7254,"Pixel produced, but most probably cloudy",Decreasing quality,Low,No,No,Yes,Shallow inland water,No,No
7258,"Pixel produced, but most probably cloudy",Decreasing quality,Low,No,No,Yes,Shallow inland water,No,No
7295,Pixel not produced due to other reasons than clouds,Not useful for any other reason/not processed,Low,No,No,Yes,Shallow inland water,No,No
7314,"Pixel produced, but most probably cloudy",Decreasing quality,Average,No,No,Yes,Shallow inland water,No,No
7318,"Pixel produced, but most probably cloudy",Decreasing quality,Average,No,No,Yes,Shallow inland water,No,No
7322,"Pixel produced, but most probably cloudy",Decreasing quality,Average,No,No,Yes,Shallow inland water,No,No
7326,"Pixel produced, but most probably cloudy",Decreasing quality,Average,No,No,Yes,Shallow inland water,No,No
7386,"Pixel produced, but most probably cloudy",Decreasing quality,High,No,No,Yes,Shallow inland water,No,No
7390,"Pixel produced, but most probably cloudy",Decreasing quality,High,No,No,Yes,Shallow inland water,No,No
7394,"Pixel produced, but most probably cloudy",Decreasing quality,High,No,No,Yes,Shallow inland water,No,No
7398,"Pixel produced, but most probably cloudy",Decreasing quality,High,No,No,Yes,Shallow inland water,No,No
7450,"Pixel produced, but most probably cloudy",Decreasing quality,Climatology,Yes,No,Yes,Shallow inland water,No,No
7454,"Pixel produced, but most probably cloudy",Decreasing quality,Climatology,Yes,No,Yes,Shallow inland water,No,No
7458,"Pixel produced, but most probably cloudy",Decreasing quality,Climatology,Yes,No,Yes,Shallow inland water,No,No
7459,Pixel not produced due to other reasons than clouds,Decreasing quality,Climatology,Yes,No,Yes,Shallow inland water,No,No
7462,"Pixel produced, but most probably cloudy",Decreasing quality,Climatology,Yes,No,Yes,Shallow inland water,No,No
7487,Pixel not produced due to other reasons than clouds,Not useful for any other reason/not processed,Climatology,Yes,No,Yes,Shallow inland water,No,No
16405,"VI produced, but check other QA",Decreasing quality,Climatology,No,No,No,Shallow ocean,Yes,No
16406,"Pixel produced, but most probably cloudy",Decreasing quality,Climatology,No,No,No,Shallow ocean,Yes,No
16409,"VI produced, but check other QA",Decreasing quality,Climatology,No,No,No,Shallow ocean,Yes,No
16410,"Pixel produced, but most probably cloudy",Decreasing quality,Climatology,No,No,No,Shallow ocean,Yes,No
16447,Pixel not produced due to other reasons than clouds,Not useful for any other reason/not processed,Climatology,No,No,No,Shallow ocean,Yes,No
16533,"VI produced, but check other QA",Decreasing quality,Average,No,No,No,Shallow ocean,Yes,No
16605,"VI produced, but check other QA",Decreasing quality,High,No,No,No,Shallow ocean,Yes,No
16665,"VI produced, but check other QA",Decreasing quality,Climatology,Yes,No,No,Shallow ocean,Yes,No
16669,"VI produced, but check other QA",Decreasing quality,Climatology,Yes,No,No,Shallow ocean,Yes,No
16703,Pixel not produced due to other reasons than clouds,Not useful for any other reason/not processed,Climatology,Yes,No,No,Shallow ocean,Yes,No
18445,"VI produced, but check other QA",Decreasing quality,Climatology,No,No,No,Land (Nothing else but land),Yes,No
18446,"Pixel produced, but most probably cloudy",Decreasing quality,Climatology,No,No,No,Land (Nothing else but land),Yes,No
18449,"VI produced, but check other QA",Decreasing quality,Climatology,No,No,No,Land (Nothing else but land),Yes,No
18450,"Pixel produced, but most probably cloudy",Decreasing quality,Climatology,No,No,No,Land (Nothing else but land),Yes,No
18453,"VI produced, but check other QA",Decreasing quality,Climatology,No,No,No,Land (Nothing else but land),Yes,No
18454,"Pixel produced, but most probably cloudy",Decreasing quality,Climatology,No,No,No,Land (Nothing else but land),Yes,No
18457,"VI produced, but check other QA",Decreasing quality,Climatology,No,No,No,Land (Nothing else but land),Yes,No
18705,"VI produced, but check other QA",Decreasing quality,Climatology,Yes,No,No,Land (Nothing else but land),Yes,No
18709,"VI produced, but check other QA",Decreasing quality,Climatology,Yes,No,No,Land (Nothing else but land),Yes,No
18713,"VI produced, but check other QA",Decreasing quality,Climatology,Yes,No,No,Land (Nothing else but land),Yes,No
18717,"VI produced, but check other QA",Decreasing quality,Climatology,Yes,No,No,Land (Nothing else but land),Yes,No
20493,"VI produced, but check other QA",Decreasing quality,Climatology,No,No,No,Ocean coastlines and lake shorelines,Yes,No
20494,"Pixel produced, but most probably cloudy",Decreasing quality,Climatology,No,No,No,Ocean coastlines and lake shorelines,Yes,No
20495,Pixel not produced due to other reasons than clouds,Decreasing quality,Climatology,No,No,No,Ocean coastlines and lake shorelines,Yes,No
20497,"VI produced, but check other QA",Decreasing quality,Climatology,No,No,No,Ocean coastlines and lake shorelines,Yes,No
20498,"Pixel produced, but most probably cloudy",Decreasing quality,Climatology,No,No,No,Ocean coastlines and lake shorelines,Yes,No
20499,Pixel not produced due to other reasons than clouds,Decreasing quality,Climatology,No,No,No,Ocean coastlines and lake shorelines,Yes,No
20501,"VI produced, but check other QA",Decreasing quality,Climatology,No,No,No,Ocean coastlines and lake shorelines,Yes,No
20502,"Pixel produced, but most probably cloudy",Decreasing quality,Climatology,No,No,No,Ocean coastlines and lake shorelines,Yes,No
20503,Pixel not produced due to other reasons than clouds,Decreasing quality,Climatology,No,No,No,Ocean coastlines and lake shorelines,Yes,No
20505,"VI produced, but check other QA",Decreasing quality,Climatology,No,No,No,Ocean coastlines and lake shorelines,Yes,No
20506,"Pixel produced, but most probably cloudy",Decreasing quality,Climatology,No,No,No,Ocean coastlines and lake shorelines,Yes,No
20543,Pixel not produced due to other reasons than clouds,Not useful for any other reason/not processed,Climatology,No,No,No,Ocean coastlines and lake shorelines,Yes,No
20625,"VI produced, but check other QA",Decreasing quality,Average,No,No,No,Ocean coastlines and lake shorelines,Yes,No
20629,"VI produced, but check other QA",Decreasing quality,Average,No,No,No,Ocean coastlines and lake shorelines,Yes,No
20671,Pixel not produced due to other reasons than clouds,Not useful for any other reason/not processed,Average,No,No,No,Ocean coastlines and lake shorelines,Yes,No
20693,"VI produced, but check other QA",Decreasing quality,High,No,No,No,Ocean coastlines and lake shorelines,Yes,No
20697,"VI produced, but check other QA",Decreasing quality,High,No,No,No,Ocean coastlines and lake shorelines,Yes,No
20701,"VI produced, but check other QA",Decreasing quality,High,No,No,No,Ocean coastlines and lake shorelines,Yes,No
20753,"VI produced, but check other QA",Decreasing quality,Climatology,Yes,No,No,Ocean coastlines and lake shorelines,Yes,No
20755,Pixel not produced due to other reasons than clouds,Decreasing quality,Climatology,Yes,No,No,Ocean coastlines and lake shorelines,Yes,No
20757,"VI produced, but check other QA",Decreasing quality,Climatology,Yes,No,No,Ocean coastlines and lake shorelines,Yes,No
20759,Pixel not produced due to other reasons than clouds,Decreasing quality,Climatology,Yes,No,No,Ocean coastlines and lake shorelines,Yes,No
20761,"VI produced, but check other QA",Decreasing quality,Climatology,Yes,No,No,Ocean coastlines and lake shorelines,Yes,No
20763,Pixel not produced due to other reasons than clouds,Decreasing quality,Climatology,Yes,No,No,Ocean coastlines and lake shorelines,Yes,No
20765,"VI produced, but check other QA",Decreasing quality,Climatology,Yes,No,No,Ocean coastlines and lake shorelines,Yes,No
20799,Pixel not produced due to other reasons than clouds,Not useful for any other reason/not processed,Climatology,Yes,No,No,Ocean coastlines and lake shorelines,Yes,No
21530,"Pixel produced, but most probably cloudy",Decreasing quality,Climatology,No,No,Yes,Ocean coastlines and lake shorelines,Yes,No
21531,Pixel not produced due to other reasons than clouds,Decreasing quality,Climatology,No,No,Yes,Ocean coastlines and lake shorelines,Yes,No
21534,"Pixel produced, but most probably cloudy",Decreasing quality,Climatology,No,No,Yes,Ocean coastlines and lake shorelines,Yes,No
21535,Pixel not produced due to other reasons than clouds,Decreasing quality,Climatology,No,No,Yes,Ocean coastlines and lake shorelines,Yes,No
21538,"Pixel produced, but most probably cloudy",Decreasing quality,Climatology,No,No,Yes,Ocean coastlines and lake shorelines,Yes,No
21542,"Pixel produced, but most probably cloudy",Decreasing quality,Climatology,No,No,Yes,Ocean coastlines and lake shorelines,Yes,No
21567,Pixel not produced due to other reasons than clouds,Not useful for any other reason/not processed,Climatology,No,No,Yes,Ocean coastlines and lake shorelines,Yes,No
21790,"Pixel produced, but most probably cloudy",Decreasing quality,Climatology,Yes,No,Yes,Ocean coastlines and lake shorelines,Yes,No
21794,"Pixel produced, but most probably cloudy",Decreasing quality,Climatology,Yes,No,Yes,Ocean coastlines and lake shorelines,Yes,No
21798,"Pixel produced, but most probably cloudy",Decreasing quality,Climatology,Yes,No,Yes,Ocean coastlines and lake shorelines,Yes,No
22541,"VI produced, but check other QA",Decreasing quality,Climatology,No,No,No,Shallow inland water,Yes,No
22542,"Pixel produced, but most probably cloudy",Decreasing quality,Climatology,No,No,No,Shallow inland water,Yes,No
22543,Pixel not produced due to other reasons than clouds,Decreasing quality,Climatology,No,No,No,Shallow inland water,Yes,No
22545,"VI produced, but check other QA",Decreasing quality,Climatology,No,No,No,Shallow inland water,Yes,No
22546,"Pixel produced, but most probably cloudy",Decreasing quality,Climatology,No,No,No,Shallow inland water,Yes,No
22547,Pixel not produced due to other reasons than clouds,Decreasing quality,Climatology,No,No,No,Shallow inland water,Yes,No
22549,"VI produced, but check other QA",Decreasing quality,Climatology,No,No,No,Shallow inland water,Yes,No
22550,"Pixel produced, but most probably cloudy",Decreasing quality,Climatology,No,No,No,Shallow inland water,Yes,No
22551,Pixel not produced due to other reasons than clouds,Decreasing quality,Climatology,No,No,No,Shallow inland water,Yes,No
22553,"VI produced, but check other QA",Decreasing quality,Climatology,No,No,No,Shallow inland water,Yes,No
22554,"Pixel produced, but most probably cloudy",Decreasing quality,Climatology,No,No,No,Shallow inland water,Yes,No
22591,Pixel not produced due to other reasons than clouds,Not useful for any other reason/not processed,Climatology,No,No,No,Shallow inland water,Yes,No
22673,"VI produced, but check other QA",Decreasing quality,Average,No,No,No,Shallow inland water,Yes,No
22677,"VI produced, but check other QA",Decreasing quality,Average,No,No,No,Shallow inland water,Yes,No
22745,"VI produced, but check other QA",Decreasing quality,High,No,No,No,Shallow inland water,Yes,No
22801,"VI produced, but check other QA",Decreasing quality,Climatology,Yes,No,No,Shallow inland water,Yes,No
22803,Pixel not produced due to other reasons than clouds,Decreasing quality,Climatology,Yes,No,No,Shallow inland water,Yes,No
22805,"VI produced, but check other QA",Decreasing quality,Climatology,Yes,No,No,Shallow inland water,Yes,No
22806,"Pixel produced, but most probably cloudy",Decreasing quality,Climatology,Yes,No,No,Shallow inland water,Yes,No
22809,"VI produced, but check other QA",Decreasing quality,Climatology,Yes,No,No,Shallow inland water,Yes,No
22810,"Pixel produced, but most probably cloudy",Decreasing quality,Climatology,Yes,No,No,Shallow inland water,Yes,No
22813,"VI produced, but check other QA",Decreasing quality,Climatology,Yes,No,No,Shallow inland water,Yes,No
22847,Pixel not produced due to other reasons than clouds,Not useful for any other reason/not processed,Climatology,Yes,No,No,Shallow inland water,Yes,No
23578,"Pixel produced, but most probably cloudy",Decreasing quality,Climatology,No,No,Yes,Shallow inland water,Yes,No
23579,Pixel not produced due to other reasons than clouds,Decreasing quality,Climatology,No,No,Yes,Shallow inland water,Yes,No
23582,"Pixel produced, but most probably cloudy",Decreasing quality,Climatology,No,No,Yes,Shallow inland water,Yes,No
23583,Pixel not produced due to other reasons than clouds,Decreasing quality,Climatology,No,No,Yes,Shallow inland water,Yes,No
23586,"Pixel produced, but most probably cloudy",Decreasing quality,Climatology,No,No,Yes,Shallow inland water,Yes,No
23590,"Pixel produced, but most probably cloudy",Decreasing quality,Climatology,No,No,Yes,Shallow inland water,Yes,No
23615,Pixel not produced due to other reasons than clouds,Not useful for any other reason/not processed,Climatology,No,No,Yes,Shallow inland water,Yes,No
23710,"Pixel produced, but most probably cloudy",Decreasing quality,Average,No,No,Yes,Shallow inland water,Yes,No
23838,"Pixel produced, but most probably cloudy",Decreasing quality,Climatology,Yes,No,Yes,Shallow inland water,Yes,No
23839,Pixel not produced due to other reasons than clouds,Decreasing quality,Climatology,Yes,No,Yes,Shallow inland water,Yes,No
23842,"Pixel produced, but most probably cloudy",Decreasing quality,Climatology,Yes,No,Yes,Shallow inland water,Yes,No
23843,Pixel not produced due to other reasons than clouds,Decreasing quality,Climatology,Yes,No,Yes,Shallow inland water,Yes,No
23846,"Pixel produced, but most probably cloudy",Decreasing quality,Climatology,Yes,No,Yes,Shallow inland water,Yes,No
23850,"Pixel produced, but most probably cloudy",Decreasing quality,Climatology,Yes,No,Yes,Shallow inland water,Yes,No
23871,Pixel not produced due to other reasons than clouds,Not useful for any other reason/not processed,Climatology,Yes,No,Yes,Shallow inland water,Yes,No
32789,"VI produced, but check other QA",Decreasing quality,Climatology,No,No,No,Shallow ocean,No,Yes
32793,"VI produced, but check other QA",Decreasing quality,Climatology,No,No,No,Shallow ocean,No,Yes
32794,"Pixel produced, but most probably cloudy",Decreasing quality,Climatology,No,No,No,Shallow ocean,No,Yes
32798,"Pixel produced, but most probably cloudy",Decreasing quality,Climatology,No,No,No,Shallow ocean,No,Yes
32848,VI produced with good quality,Decreasing quality,Low,No,No,No,Shallow ocean,No,Yes
32850,"Pixel produced, but most probably cloudy",Decreasing quality,Low,No,No,No,Shallow ocean,No,Yes
32895,Pixel not produced due to other reasons than clouds,Not useful for any other reason/not processed,Low,No,No,No,Shallow ocean,No,Yes
32917,"VI produced, but check other QA",Decreasing quality,Average,No,No,No,Shallow ocean,No,Yes
32921,"VI produced, but check other QA",Decreasing quality,Average,No,No,No,Shallow ocean,No,Yes
32922,"Pixel produced, but most probably cloudy",Decreasing quality,Average,No,No,No,Shallow ocean,No,Yes
32959,Pixel not produced due to other reasons than clouds,Not useful for any other reason/not processed,Average,No,No,No,Shallow ocean,No,Yes
32989,"VI produced, but check other QA",Decreasing quality,High,No,No,No,Shallow ocean,No,Yes
32990,"Pixel produced, but most probably cloudy",Decreasing quality,High,No,No,No,Shallow ocean,No,Yes
32993,"VI produced, but check other QA",Decreasing quality,High,No,No,No,Shallow ocean,No,Yes
33023,Pixel not produced due to other reasons than clouds,Not useful for any other reason/not processed,High,No,No,No,Shallow ocean,No,Yes
33049,"VI produced, but check other QA",Decreasing quality,Climatology,Yes,No,No,Shallow ocean,No,Yes
33050,"Pixel produced, but most probably cloudy",Decreasing quality,Climatology,Yes,No,No,Shallow ocean,No,Yes
33053,"VI produced, but check other QA",Decreasing quality,Climatology,Yes,No,No,Shallow ocean,No,Yes
33054,"Pixel produced, but most probably cloudy",Decreasing quality,Climatology,Yes,No,No,Shallow ocean,No,Yes
33057,"VI produced, but check other QA",Decreasing quality,Climatology,Yes,No,No,Shallow ocean,No,Yes
33058,"Pixel produced, but most probably cloudy",Decreasing quality,Climatology,Yes,No,No,Shallow ocean,No,Yes
33087,Pixel not produced due to other reasons than clouds,Not useful for any other reason/not processed,Climatology,Yes,No,No,Shallow ocean,No,Yes
33104,VI produced with good quality,Decreasing quality,Low,Yes,No,No,Shallow ocean,No,Yes
33151,Pixel not produced due to other reasons than clouds,Not useful for any other reason/not processed,Low,Yes,No,No,Shallow ocean,No,Yes
33177,"VI produced, but check other QA",Decreasing quality,Average,Yes,No,No,Shallow ocean,No,Yes
33181,"VI produced, but check other QA",Decreasing quality,Average,Yes,No,No,Shallow ocean,No,Yes
33215,Pixel not produced due to other reasons than clouds,Not useful for any other reason/not processed,Average,Yes,No,No,Shallow ocean,No,Yes
33253,"VI produced, but check other QA",Decreasing quality,High,Yes,No,No,Shallow ocean,No,Yes
33886,"Pixel produced, but most probably cloudy",Decreasing quality,Low,No,No,Yes,Shallow ocean,No,Yes
33954,"Pixel produced, but most probably cloudy",Decreasing quality,Average,No,No,Yes,Shallow ocean,No,Yes
34026,"Pixel produced, but most probably cloudy",Decreasing quality,High,No,No,Yes,Shallow ocean,No,Yes
34086,"Pixel produced, but most probably cloudy",Decreasing quality,Climatology,Yes,No,Yes,Shallow ocean,No,Yes
34090,"Pixel produced, but most probably cloudy",Decreasing quality,Climatology,Yes,No,Yes,Shallow ocean,No,Yes
34094,"Pixel produced, but most probably cloudy",Decreasing quality,Climatology,Yes,No,Yes,Shallow ocean,No,Yes
34111,Pixel not produced due to other reasons than clouds,Not useful for any other reason/not processed,Climatology,Yes,No,Yes,Shallow ocean,No,Yes
34286,"Pixel produced, but most probably cloudy",Decreasing quality,High,Yes,No,Yes,Shallow ocean,No,Yes
34833,"VI produced, but check other QA",Decreasing quality,Climatology,No,No,No,Land (Nothing else but land),No,Yes
34834,"Pixel produced, but most probably cloudy",Decreasing quality,Climatology,No,No,No,Land (Nothing else but land),No,Yes
34837,"VI produced, but check other QA",Decreasing quality,Climatology,No,No,No,Land (Nothing else but land),No,Yes
34838,"Pixel produced, but most probably cloudy",Decreasing quality,Climatology,No,No,No,Land (Nothing else but land),No,Yes
34841,"VI produced, but check other QA",Decreasing quality,Climatology,No,No,No,Land (Nothing else but land),No,Yes
34842,"Pixel produced, but most probably cloudy",Decreasing quality,Climatology,No,No,No,Land (Nothing else but land),No,Yes
34845,"VI produced, but check other QA",Decreasing quality,Climatology,No,No,No,Land (Nothing else but land),No,Yes
34846,"Pixel produced, but most probably cloudy",Decreasing quality,Climatology,No,No,No,Land (Nothing else but land),No,Yes
34888,VI produced with good quality,Decreasing quality,Low,No,No,No,Land (Nothing else but land),No,Yes
34892,VI produced with good quality,Decreasing quality,Low,No,No,No,Land (Nothing else but land),No,Yes
34896,VI produced with good quality,Decreasing quality,Low,No,No,No,Land (Nothing else but land),No,Yes
34957,"VI produced, but check other QA",Decreasing quality,Average,No,No,No,Land (Nothing else but land),No,Yes
34961,"VI produced, but check other QA",Decreasing quality,Average,No,No,No,Land (Nothing else but land),No,Yes
34965,"VI produced, but check other QA",Decreasing quality,Average,No,No,No,Land (Nothing else but land),No,Yes
34969,"VI produced, but check other QA",Decreasing quality,Average,No,No,No,Land (Nothing else but land),No,Yes
35007,Pixel not produced due to other reasons than clouds,Not useful for any other reason/not processed,Average,No,No,No,Land (Nothing else but land),No,Yes
35029,"VI produced, but check other QA",Decreasing quality,High,No,No,No,Land (Nothing else but land),No,Yes
35033,"VI produced, but check other QA",Decreasing quality,High,No,No,No,Land (Nothing else but land),No,Yes
35034,"Pixel produced, but most probably cloudy",Decreasing quality,High,No,No,No,Land (Nothing else but land),No,Yes
35037,"VI produced, but check other QA",Decreasing quality,High,No,No,No,Land (Nothing else but land),No,Yes
35038,"Pixel produced, but most probably cloudy",Decreasing quality,High,No,No,No,Land (Nothing else but land),No,Yes
35093,"VI produced, but check other QA",Decreasing quality,Climatology,Yes,No,No,Land (Nothing else but land),No,Yes
35094,"Pixel produced, but most probably cloudy",Decreasing quality,Climatology,Yes,No,No,Land (Nothing else but land),No,Yes
35097,"VI produced, but check other QA",Decreasing quality,Climatology,Yes,No,No,Land (Nothing else but land),No,Yes
35098,"Pixel produced, but most probably cloudy",Decreasing quality,Climatology,Yes,No,No,Land (Nothing else but land),No,Yes
35101,"VI produced, but check other QA",Decreasing quality,Climatology,Yes,No,No,Land (Nothing else but land),No,Yes
